source,category,mesh,source_material,texture_family,resolution_method,base_color,normal,roughness,metallic,ao,emission,alpha
FBX/Doorways/SM_3DT_Doorway_01.fbx,Doorways,SM_3DT_Doorway_01,Doorway 01,Doorway 01,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 01/T_3DT_Doorway_01_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 01/T_3DT_Doorway_01_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 01/T_3DT_Doorway_01_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 01/T_3DT_Doorway_01_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 01/T_3DT_Doorway_01_AmbientOcclusion.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 01/T_3DT_Doorway_01_Emission.png,
FBX/Doorways/SM_3DT_Doorway_02.fbx,Doorways,SM_3DT_Doorway_02,Doorway 02,Doorway 02,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 02/T_3DT_Doorway_02_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 02/T_3DT_Doorway_02_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 02/T_3DT_Doorway_02_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 02/T_3DT_Doorway_02_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 02/T_3DT_Doorway_02_AmbientOcclusion.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 02/T_3DT_Doorway_02_Emission.png,
FBX/Doorways/SM_3DT_Doorway_03.fbx,Doorways,SM_3DT_Doorway_03,Doorway 03,Doorway 03,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 03/T_3DT_Doorway_03_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 03/T_3DT_Doorway_03_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 03/T_3DT_Doorway_03_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 03/T_3DT_Doorway_03_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 03/T_3DT_Doorway_03_AmbientOcclusion.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 03/T_3DT_Doorway_03_Emission.png,
FBX/Doorways/SM_3DT_Doorway_04.fbx,Doorways,SM_3DT_Doorway_04,Doorway 04,Doorway 04,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 04/T_3DT_Doorway_04_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 04/T_3DT_Doorway_04_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 04/T_3DT_Doorway_04_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 04/T_3DT_Doorway_04_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 04/T_3DT_Doorway_04_AmbientOcclusion.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 04/T_3DT_Doorway_04_Emission.png,
FBX/Doorways/SM_3DT_Doorway_05.fbx,Doorways,SM_3DT_Doorway_05,Doorway 05,Doorway 05,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 05/T_3DT_Doorway_05_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 05/T_3DT_Doorway_05_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 05/T_3DT_Doorway_05_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 05/T_3DT_Doorway_05_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway 05/T_3DT_Doorway_05_AmbientOcclusion.png,,
FBX/Doorways/SM_3DT_Doorway_Garage.fbx,Doorways,SM_3DT_Doorway_Garage,Doorway Garage,Doorway Garage,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway Garage/T_3DT_Doorway_Garage_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway Garage/T_3DT_Doorway_Garage_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway Garage/T_3DT_Doorway_Garage_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway Garage/T_3DT_Doorway_Garage_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway Garage/T_3DT_Doorway_Garage_AmbientOcclusion.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Doorway Garage/T_3DT_Doorway_Garage_Emission.png,
FBX/Floor/SM_3DT_Sidewalk.fbx,Floor,SM_3DT_Sidewalk,Sidewalk,Sidewalk,explicit_alias,assets/environment/3DT_Cyberpunk_Downtown/Textures/Sidewalk/T_3DT_Sidewalk_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Sidewalk/T_3DT_Sidewalk_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Sidewalk/T_3DT_Sidewalk_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Sidewalk/T_3DT_Sidewalk_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Sidewalk/T_3DT_Sidewalk_AmbientOcclusion.png,,
FBX/Floor/SM_3DT_Sidewalk_Curb.fbx,Floor,SM_3DT_Sidewalk_Curb,Sidewalk,Sidewalk,explicit_alias,assets/environment/3DT_Cyberpunk_Downtown/Textures/Sidewalk/T_3DT_Sidewalk_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Sidewalk/T_3DT_Sidewalk_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Sidewalk/T_3DT_Sidewalk_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Sidewalk/T_3DT_Sidewalk_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Sidewalk/T_3DT_Sidewalk_AmbientOcclusion.png,,
FBX/Metal Panels/SM_3DT_Metal_Panel_01.fbx,Metal Panels,SM_3DT_Metal_Panel_01,Metal Panels A,Metal Panels A,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_AmbientOcclusion.png,,
FBX/Metal Panels/SM_3DT_Metal_Panel_02.fbx,Metal Panels,SM_3DT_Metal_Panel_02,Metal Panels A,Metal Panels A,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_AmbientOcclusion.png,,
FBX/Metal Panels/SM_3DT_Metal_Panel_03.fbx,Metal Panels,SM_3DT_Metal_Panel_03,Metal Panels A,Metal Panels A,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_AmbientOcclusion.png,,
FBX/Metal Panels/SM_3DT_Metal_Panel_04.fbx,Metal Panels,SM_3DT_Metal_Panel_04,Metal Panels A,Metal Panels A,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_AmbientOcclusion.png,,
FBX/Metal Panels/SM_3DT_Metal_Panel_05.fbx,Metal Panels,SM_3DT_Metal_Panel_05,Metal Panels A,Metal Panels A,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels A/T_3DT_Metal_Panels_A_AmbientOcclusion.png,,
FBX/Metal Panels/SM_3DT_Metal_Panel_06.fbx,Metal Panels,SM_3DT_Metal_Panel_06,Metal Panels B,Metal Panels B,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels B/T_3DT_Metal Panels B_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels B/T_3DT_Metal Panels B_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels B/T_3DT_Metal Panels B_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels B/T_3DT_Metal Panels B_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels B/T_3DT_Metal Panels B_AmbientOcclusion.png,,
FBX/Metal Panels/SM_3DT_Metal_Panel_07.fbx,Metal Panels,SM_3DT_Metal_Panel_07,Metal Panels B,Metal Panels B,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels B/T_3DT_Metal Panels B_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels B/T_3DT_Metal Panels B_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels B/T_3DT_Metal Panels B_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels B/T_3DT_Metal Panels B_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Panels B/T_3DT_Metal Panels B_AmbientOcclusion.png,,
